Title;Review;Weight;Price_before_discount;Discount;Price;Date;Origin;Brand;Id;Url;Subcategory;Date_collecting_data;Swiss_Product;Bio;Word_count;Unit;clean_unit;calculated_price_per100g_perStück;Weight_unit;discount_start_date;discount_ende_date;discount_start_day;discount_ende_day;Discount_duration;Discount_exist
Ebly Zartweizen;;pro 1kg |;7.49;;7.49;;unbekannt;Ebly;8998;https://sortiment.lidl.ch/de/ebly-zartweizen-0008998;Hülsenfrüchte;;unbekannt;no;2;1kg;1000g;0.75;g;;;;;;no
Solomania Dörrbohnen;;pro 100g |;4.79;;4.79;;unbekannt;Solomania;5103950;https://sortiment.lidl.ch/de/solomania-doerrbohnen-5103950;Hülsenfrüchte;;unbekannt;no;2;100g;100g;4.79;g;;;;;;no
Bio Quinoa tricolore;;pro 400g | 100g = 0.89 CHF;3.55;;3.55;;unbekannt;Crownfild;119437;https://sortiment.lidl.ch/de/bio-quinoa-tricolore-0119437;Hülsenfrüchte;;unbekannt;yes;3;400g;400g;0.89;g;;;;;;no
Bio Hülsenfrüchte;1.0;pro 500g | 100g = 0.46 CHF;2.29;;2.29;;unbekannt;Golden Sun;119562;https://sortiment.lidl.ch/de/bio-huelsenfruechte-0119562;Hülsenfrüchte;;unbekannt;yes;2;500g;500g;0.46;g;;;;;;no
Liebling der Apfelkönigin;6.0;pro 6Stk. | 1 Stk = 0.44 CHF;2.59;;2.59;;Schweiz;;80224;https://sortiment.lidl.ch/de/liebling-der-apfelkoenigin-0080224;Obst;;yes;no;3;6Stk.;6 Stücke;0.43;Stück;;;;;;no
Zitronen 500g;37.0;pro 500g | 1Kg = 1.86 CHF;0.93;;0.93;;variabel;;80170;https://sortiment.lidl.ch/de/zitronen-500g-0080170;Obst;;no;no;2;500g;500g;0.19;g;;;;;;no
Heidelbeeren 400g;59.0;pro 400g | 100g = 1.43 CHF;5.69;;5.69;;variabel;;80818;https://sortiment.lidl.ch/de/heidelbeeren-400g-0080818;Obst;;no;no;2;400g;400g;1.42;g;;;;;;no
Bio Birnen 500g;;pro 500g | 1Kg = 5.98 CHF;2.99;;2.99;;Schweiz;BIO Organic;81580;https://sortiment.lidl.ch/de/bio-birnen-500g-0081580;Obst;;yes;yes;3;500g;500g;0.6;g;;;;;;no
Trauben hell kernlos 700g;;pro 700g | 1Kg = 4.28 CHF;2.99;;2.99;;variabel;;80506;https://sortiment.lidl.ch/de/trauben-hell-kernlos-700g-0080506;Obst;;no;no;4;700g;700g;0.43;g;;;;;;no
Äpfel rot 1,5kg;65.0;pro 1,5kg | 1Kg = 2.80 CHF;4.19;;4.19;;Schweiz;;80229;https://sortiment.lidl.ch/de/aepfel-rot-1-5kg-0080229;Obst;;yes;no;3;1,5kg;1500g;0.28;g;;;;;;no
Bio Kiwi Gold 500g;5.0;pro 500g | 1Kg = 6.98 CHF;3.49;;3.49;;Italien;BIO Organic;81722;https://sortiment.lidl.ch/de/bio-kiwi-gold-500g-0081722;Obst;;no;yes;4;500g;500g;0.7;g;;;;;;no
Äpfel rot;4.0;pro 1kg |;2.89;;2.89;;Schweiz;;80220;https://sortiment.lidl.ch/de/aepfel-rot-0080220;Obst;;yes;no;2;1kg;1000g;0.29;g;;;;;;no
Orangen;3.0;pro 1kg |;1.99;;1.99;;Spanien;;80135;https://sortiment.lidl.ch/de/orangen-0080135;Obst;;no;no;1;1kg;1000g;0.2;g;;;;;;no
Kaki 1kg;;pro 1kg |;2.49;;2.49;;Spanien;;80660;https://sortiment.lidl.ch/de/kaki-1kg-0080660;Obst;;no;no;2;1kg;1000g;0.25;g;;;;;;no
